,mask_criterion,seed,iteration,test_accuracy
0,magnitude_increase_diff_sign,0,0,0.9786999821662903
1,magnitude_increase_diff_sign,0,1,0.9812999963760376
2,magnitude_increase_diff_sign,0,2,0.9786999821662903
3,magnitude_increase_diff_sign,0,3,0.9779999852180481
4,magnitude_increase_diff_sign,0,4,0.9794999957084656
5,magnitude_increase_diff_sign,0,5,0.9793000221252441
6,magnitude_increase_diff_sign,0,6,0.9768999814987183
7,magnitude_increase_diff_sign,0,7,0.977400004863739
8,magnitude_increase_diff_sign,0,8,0.9750999808311462
9,magnitude_increase_diff_sign,0,9,0.9750999808311462
10,magnitude_increase_diff_sign,0,10,0.9715999960899353
11,magnitude_increase_diff_sign,0,11,0.9735999703407288
12,magnitude_increase_diff_sign,0,12,0.9666000008583069
13,magnitude_increase_diff_sign,0,13,0.9663000106811523
14,magnitude_increase_diff_sign,0,14,0.9607999920845032
15,magnitude_increase_diff_sign,0,15,0.9567999839782715
16,magnitude_increase_diff_sign,0,16,0.9516000151634216
17,magnitude_increase_diff_sign,0,17,0.9413999915122986
18,magnitude_increase_diff_sign,0,18,0.9294000267982483
19,magnitude_increase_diff_sign,0,19,0.9057000279426575
20,magnitude_increase_diff_sign,0,20,0.8450999855995178
21,magnitude_increase_diff_sign,0,21,0.8148999810218811
22,magnitude_increase_diff_sign,0,22,0.5985999703407288
23,magnitude_increase_diff_sign,0,23,0.5613999962806702
24,magnitude_increase_diff_sign,0,24,0.41929998993873596
25,magnitude_increase,0,0,0.9786999821662903
26,magnitude_increase,0,1,0.978600025177002
27,magnitude_increase,0,2,0.9786999821662903
28,magnitude_increase,0,3,0.9807000160217285
29,magnitude_increase,0,4,0.980400025844574
30,magnitude_increase,0,5,0.9828000068664551
31,magnitude_increase,0,6,0.9812999963760376
32,magnitude_increase,0,7,0.9812999963760376
33,magnitude_increase,0,8,0.9818000197410583
34,magnitude_increase,0,9,0.982699990272522
35,magnitude_increase,0,10,0.9829000234603882
36,magnitude_increase,0,11,0.9825000166893005
37,magnitude_increase,0,12,0.9817000031471252
38,magnitude_increase,0,13,0.9804999828338623
39,magnitude_increase,0,14,0.9800000190734863
40,magnitude_increase,0,15,0.9794999957084656
41,magnitude_increase,0,16,0.9778000116348267
42,magnitude_increase,0,17,0.9769999980926514
43,magnitude_increase,0,18,0.9761000275611877
44,magnitude_increase,0,19,0.9731000065803528
45,magnitude_increase,0,20,0.9700999855995178
46,magnitude_increase,0,21,0.9675999879837036
47,magnitude_increase,0,22,0.9642999768257141
48,magnitude_increase,0,23,0.9531000256538391
49,magnitude_increase,0,24,0.948199987411499
50,magnitude_increase_same_sign,0,0,0.9786999821662903
51,magnitude_increase_same_sign,0,1,0.9800999760627747
52,magnitude_increase_same_sign,0,2,0.980400025844574
53,magnitude_increase_same_sign,0,3,0.9833999872207642
54,magnitude_increase_same_sign,0,4,0.9793999791145325
55,magnitude_increase_same_sign,0,5,0.9811999797821045
56,magnitude_increase_same_sign,0,6,0.9822999835014343
57,magnitude_increase_same_sign,0,7,0.98089998960495
58,magnitude_increase_same_sign,0,8,0.9825999736785889
59,magnitude_increase_same_sign,0,9,0.9828000068664551
60,magnitude_increase_same_sign,0,10,0.9833999872207642
61,magnitude_increase_same_sign,0,11,0.983299970626831
62,magnitude_increase_same_sign,0,12,0.9825000166893005
63,magnitude_increase_same_sign,0,13,0.9797999858856201
64,magnitude_increase_same_sign,0,14,0.9793000221252441
65,magnitude_increase_same_sign,0,15,0.9782999753952026
66,magnitude_increase_same_sign,0,16,0.975600004196167
67,magnitude_increase_same_sign,0,17,0.9751999974250793
68,magnitude_increase_same_sign,0,18,0.9758999943733215
69,magnitude_increase_same_sign,0,19,0.972000002861023
70,magnitude_increase_same_sign,0,20,0.968500018119812
71,magnitude_increase_same_sign,0,21,0.9656000137329102
72,magnitude_increase_same_sign,0,22,0.9632999897003174
73,magnitude_increase_same_sign,0,23,0.9578999876976013
74,magnitude_increase_same_sign,0,24,0.9526000022888184
75,magnitude_increase_diff_sign,1,0,0.9799000024795532
76,magnitude_increase_diff_sign,1,1,0.9782000184059143
77,magnitude_increase_diff_sign,1,2,0.9779000282287598
78,magnitude_increase_diff_sign,1,3,0.9771999716758728
79,magnitude_increase_diff_sign,1,4,0.9799000024795532
80,magnitude_increase_diff_sign,1,5,0.9781000018119812
81,magnitude_increase_diff_sign,1,6,0.9782000184059143
82,magnitude_increase_diff_sign,1,7,0.9771999716758728
83,magnitude_increase_diff_sign,1,8,0.9754999876022339
84,magnitude_increase_diff_sign,1,9,0.9747999906539917
85,magnitude_increase_diff_sign,1,10,0.9742000102996826
86,magnitude_increase_diff_sign,1,11,0.9739999771118164
87,magnitude_increase_diff_sign,1,12,0.968999981880188
88,magnitude_increase_diff_sign,1,13,0.9677000045776367
89,magnitude_increase_diff_sign,1,14,0.9603999853134155
90,magnitude_increase_diff_sign,1,15,0.9595000147819519
91,magnitude_increase_diff_sign,1,16,0.9487000107765198
92,magnitude_increase_diff_sign,1,17,0.9437000155448914
93,magnitude_increase_diff_sign,1,18,0.9316999912261963
94,magnitude_increase_diff_sign,1,19,0.8991000056266785
95,magnitude_increase_diff_sign,1,20,0.8543000221252441
96,magnitude_increase_diff_sign,1,21,0.7817999720573425
97,magnitude_increase_diff_sign,1,22,0.6164000034332275
98,magnitude_increase_diff_sign,1,23,0.5241000056266785
99,magnitude_increase_diff_sign,1,24,0.22630000114440918
100,magnitude_increase,1,0,0.9799000024795532
101,magnitude_increase,1,1,0.9829999804496765
102,magnitude_increase,1,2,0.9793999791145325
103,magnitude_increase,1,3,0.9801999926567078
104,magnitude_increase,1,4,0.9811000227928162
105,magnitude_increase,1,5,0.9825999736785889
106,magnitude_increase,1,6,0.9836999773979187
107,magnitude_increase,1,7,0.9835000038146973
108,magnitude_increase,1,8,0.9822999835014343
109,magnitude_increase,1,9,0.9829000234603882
110,magnitude_increase,1,10,0.982200026512146
111,magnitude_increase,1,11,0.9824000000953674
112,magnitude_increase,1,12,0.9825000166893005
113,magnitude_increase,1,13,0.9818000197410583
114,magnitude_increase,1,14,0.9797999858856201
115,magnitude_increase,1,15,0.978600025177002
116,magnitude_increase,1,16,0.9781000018119812
117,magnitude_increase,1,17,0.9760000109672546
