,mask_criterion,seed,iteration,test_accuracy
168,large_final_same_sign,2,18,0.9793999791145325
169,large_final_same_sign,2,19,0.9749000072479248
170,large_final_same_sign,2,20,0.9735000133514404
171,large_final_same_sign,2,21,0.9684000015258789
172,large_final_same_sign,2,22,0.9652000069618225
173,large_final_same_sign,2,23,0.9620000123977661
174,large_final_same_sign,2,24,0.9541000127792358
175,large_final_diff_sign,2,0,0.9796000123023987
176,large_final_diff_sign,2,1,0.9811000227928162
177,large_final_diff_sign,2,2,0.9793000221252441
178,large_final_diff_sign,2,3,0.9800999760627747
179,large_final_diff_sign,2,4,0.980400025844574
180,large_final_diff_sign,2,5,0.9753999710083008
181,large_final_diff_sign,2,6,0.980400025844574
182,large_final_diff_sign,2,7,0.9765999913215637
183,large_final_diff_sign,2,8,0.9747999906539917
184,large_final_diff_sign,2,9,0.972599983215332
185,large_final_diff_sign,2,10,0.9728999733924866
186,large_final_diff_sign,2,11,0.9686999917030334
187,large_final_diff_sign,2,12,0.9668999910354614
188,large_final_diff_sign,2,13,0.9660000205039978
189,large_final_diff_sign,2,14,0.965499997138977
190,large_final_diff_sign,2,15,0.9575999975204468
191,large_final_diff_sign,2,16,0.9562000036239624
192,large_final_diff_sign,2,17,0.9455999732017517
193,large_final_diff_sign,2,18,0.9315999746322632
194,large_final_diff_sign,2,19,0.9070000052452087
195,large_final_diff_sign,2,20,0.892300009727478
196,large_final_diff_sign,2,21,0.8640999794006348
197,large_final_diff_sign,2,22,0.8087000250816345
198,large_final_diff_sign,2,23,0.6873000264167786
199,large_final_diff_sign,2,24,0.41760000586509705
200,large_final,2,0,0.9796000123023987
201,large_final,2,1,0.9799000024795532
202,large_final,2,2,0.9824000000953674
203,large_final,2,3,0.9833999872207642
204,large_final,2,4,0.9825999736785889
205,large_final,2,5,0.9836999773979187
206,large_final,2,6,0.9833999872207642
207,large_final,2,7,0.984000027179718
208,large_final,2,8,0.9840999841690063
209,large_final,2,9,0.9842000007629395
210,large_final,2,10,0.9837999939918518
211,large_final,2,11,0.9837999939918518
212,large_final,2,12,0.9835000038146973
213,large_final,2,13,0.982200026512146
214,large_final,2,14,0.9818000197410583
215,large_final,2,15,0.9800000190734863
216,large_final,2,16,0.9800999760627747
217,large_final,2,17,0.9764000177383423
218,large_final,2,18,0.9763000011444092
219,large_final,2,19,0.9708999991416931
220,large_final,2,20,0.9704999923706055
221,large_final,2,21,0.9672999978065491
222,large_final,2,22,0.9617000222206116
223,large_final,2,23,0.9569000005722046
224,large_final,2,24,0.9516000151634216
225,large_final_same_sign,3,0,0.9793999791145325
226,large_final_same_sign,3,1,0.9801999926567078
227,large_final_same_sign,3,2,0.9812999963760376
228,large_final_same_sign,3,3,0.9789999723434448
229,large_final_same_sign,3,4,0.9807999730110168
230,large_final_same_sign,3,5,0.982200026512146
231,large_final_same_sign,3,6,0.9825999736785889
232,large_final_same_sign,3,7,0.9833999872207642
233,large_final_same_sign,3,8,0.984000027179718
234,large_final_same_sign,3,9,0.9835000038146973
235,large_final_same_sign,3,10,0.9807999730110168
236,large_final_same_sign,3,11,0.9818000197410583
237,large_final_same_sign,3,12,0.98089998960495
238,large_final_same_sign,3,13,0.9804999828338623
239,large_final_same_sign,3,14,0.9804999828338623
240,large_final_same_sign,3,15,0.980400025844574
241,large_final_same_sign,3,16,0.9793999791145325
