,mask_criterion,seed,iteration,test_accuracy
0,magnitude_increase,0,0,0.9786999821662903
1,magnitude_increase,0,1,0.978600025177002
2,magnitude_increase,0,2,0.9786999821662903
3,magnitude_increase,0,3,0.9807000160217285
4,magnitude_increase,0,4,0.980400025844574
5,magnitude_increase,0,5,0.9828000068664551
6,magnitude_increase,0,6,0.9812999963760376
7,magnitude_increase,0,7,0.9812999963760376
8,magnitude_increase,0,8,0.9818000197410583
9,magnitude_increase,0,9,0.982699990272522
10,magnitude_increase,0,10,0.9829000234603882
11,magnitude_increase,0,11,0.9825000166893005
12,magnitude_increase,0,12,0.9817000031471252
13,magnitude_increase,0,13,0.9804999828338623
14,magnitude_increase,0,14,0.9800000190734863
15,magnitude_increase,0,15,0.9794999957084656
16,magnitude_increase,0,16,0.9778000116348267
17,magnitude_increase,0,17,0.9769999980926514
18,magnitude_increase,0,18,0.9761000275611877
19,magnitude_increase,0,19,0.9731000065803528
20,magnitude_increase,0,20,0.9700999855995178
21,magnitude_increase,0,21,0.9675999879837036
22,magnitude_increase,0,22,0.9642999768257141
23,magnitude_increase,0,23,0.9531000256538391
24,magnitude_increase,0,24,0.948199987411499
25,large_init_large_final,0,0,0.9786999821662903
26,large_init_large_final,0,1,0.9815000295639038
27,large_init_large_final,0,2,0.9783999919891357
28,large_init_large_final,0,3,0.9814000129699707
29,large_init_large_final,0,4,0.9805999994277954
30,large_init_large_final,0,5,0.9818000197410583
31,large_init_large_final,0,6,0.9814000129699707
32,large_init_large_final,0,7,0.9797999858856201
33,large_init_large_final,0,8,0.9807999730110168
34,large_init_large_final,0,9,0.9797999858856201
35,large_init_large_final,0,10,0.9787999987602234
36,large_init_large_final,0,11,0.9765999913215637
37,large_init_large_final,0,12,0.9760000109672546
38,large_init_large_final,0,13,0.9718000292778015
39,large_init_large_final,0,14,0.9695000052452087
40,large_init_large_final,0,15,0.9664999842643738
41,large_init_large_final,0,16,0.9620000123977661
42,large_init_large_final,0,17,0.9569000005722046
43,large_init_large_final,0,18,0.9473999738693237
44,large_init_large_final,0,19,0.934499979019165
45,large_init_large_final,0,20,0.9190000295639038
46,large_init_large_final,0,21,0.883899986743927
47,large_init_large_final,0,22,0.8151999711990356
48,large_init_large_final,0,23,0.6772000193595886
49,large_init_large_final,0,24,0.5309000015258789
50,movement,0,0,0.9786999821662903
51,movement,0,1,0.9797000288963318
52,movement,0,2,0.9797999858856201
53,movement,0,3,0.9803000092506409
54,movement,0,4,0.9800999760627747
55,movement,0,5,0.9817000031471252
56,movement,0,6,0.9819999933242798
57,movement,0,7,0.9821000099182129
58,movement,0,8,0.9819999933242798
59,movement,0,9,0.9830999970436096
60,movement,0,10,0.9821000099182129
61,movement,0,11,0.9811000227928162
62,movement,0,12,0.9824000000953674
63,movement,0,13,0.9811000227928162
64,movement,0,14,0.9794999957084656
65,movement,0,15,0.9787999987602234
66,movement,0,16,0.9761999845504761
67,movement,0,17,0.9749000072479248
68,movement,0,18,0.973800003528595
69,movement,0,19,0.972599983215332
70,movement,0,20,0.9689000248908997
71,movement,0,21,0.9657999873161316
72,movement,0,22,0.9605000019073486
73,movement,0,23,0.9559000134468079
74,movement,0,24,0.9435999989509583
75,small_init_small_final,0,0,0.9786999821662903
76,small_init_small_final,0,1,0.9801999926567078
77,small_init_small_final,0,2,0.9782000184059143
78,small_init_small_final,0,3,0.9786999821662903
79,small_init_small_final,0,4,0.9771999716758728
80,small_init_small_final,0,5,0.9783999919891357
81,small_init_small_final,0,6,0.9757000207901001
82,small_init_small_final,0,7,0.9775000214576721
83,small_init_small_final,0,8,0.9745000004768372
84,small_init_small_final,0,9,0.9706000089645386
85,small_init_small_final,0,10,0.9682000279426575
